domain,source,matched_categories,matched_keywords,online,whois_registrar,whois_tld,whois_whois_server,whois_referral_url,whois_creation_dates,whois_updated_dates,whois_expiration_dates,whois_status,whois_nameservers,whois_dnssec,whois_emails,whois_registrant_name,whois_registrant_org,whois_registrant_country,whois_registrant_state,whois_registrant_city,whois_registrant_address,whois_registrant_phone,whois_registrant_fax,dgad_is_dga,dgad_binary_label,dgad_binary_score,dgad_family_label,dgad_family_score,timestamp
001marineservices.com,ICANN,blacklistKeywords_phishing;blacklistKeywords_fraud,service;service,True,,com,,,,,,,,,,,,,,,,,,False,benign,0.00028924885555170476,N/A,0.0,2025-09-16T16:02:15.576606
006707v705b40jflrnjm4tnftt0049vf.com,ICANN,blacklistKeywords_crypto_scam,nft,False,,com,,,,,,,,,,,,,,,,,,True,DGA,0.9998149871826172,gameover,0.9984347224235535,2025-09-16T16:02:16.240659
01visa.com,ICANN,enterpriseBrands_financial,visa,True,,com,,,,,,,,,,,,,,,,,,False,benign,0.001966521143913269,N/A,0.0,2025-09-16T16:02:18.715731
0ne-pay.com,ICANN,blacklistKeywords_phishing,pay,False,,com,,,,,,,,,,,,,,,,,,False,benign,5.873346526641399e-05,N/A,0.0,2025-09-16T16:02:32.767428
0ptunnisservice.com,ICANN,blacklistKeywords_phishing;blacklistKeywords_fraud,service;service,False,,com,,,,,,,,,,,,,,,,,,False,benign,0.005841516889631748,N/A,0.0,2025-09-16T16:02:33.775868
1007grandviewunit1102.com,ICANN,blacklistKeywords_fraud,view,True,,com,,,,,,,,,,,,,,,,,,False,benign,6.52037124382332e-05,N/A,0.0,2025-09-16T16:02:37.962592
100amazon.com,ICANN,enterpriseBrands_fortune_100,amazon,True,,com,,,,,,,,,,,,,,,,,,False,benign,7.734846440143883e-05,N/A,0.0,2025-09-16T16:02:38.046568
100ksquared.com,ICANN,enterpriseBrands_financial,square,False,,com,,,,,,,,,,,,,,,,,,False,benign,0.0013557522324845195,N/A,0.0,2025-09-16T16:02:38.515316
100norththetfordroad.com,ICANN,enterpriseBrands_fortune_100,ford,False,,com,,,,,,,,,,,,,,,,,,False,benign,0.01952546462416649,N/A,0.0,2025-09-16T16:02:38.664180
100squarefeet.com,ICANN,enterpriseBrands_financial,square,True,,com,,,,,,,,,,,,,,,,,,False,benign,0.0037902798503637314,N/A,0.0,2025-09-16T16:02:38.919056
108crawford.com,ICANN,enterpriseBrands_fortune_100,ford,False,,com,,,,,,,,,,,,,,,,,,False,benign,0.00022634652850683779,N/A,0.0,2025-09-16T16:02:41.152143
