domain,source,matched_categories,matched_keywords,online,whois_registrar,whois_tld,whois_whois_server,whois_referral_url,whois_creation_dates,whois_updated_dates,whois_expiration_dates,whois_status,whois_nameservers,whois_dnssec,whois_emails,whois_registrant_name,whois_registrant_org,whois_registrant_country,whois_registrant_state,whois_registrant_city,whois_registrant_address,whois_registrant_phone,whois_registrant_fax,dgad_is_dga,dgad_binary_label,dgad_binary_score,dgad_family_label,dgad_family_score,timestamp
01gateway.com,ICANN,blacklistKeywords_phishing;blacklistKeywords_hunting_blacklist,gateway;gateway,False,,com,,,,,,,,,,,,,,,,,,False,benign,0.0002603457251098007,N/A,0.0,2025-09-10T12:39:58.554905
02sofilem23v3ecigvf15ke32rk694an.com,ICANN,enterpriseBrands_financial,sofi,False,,com,,,,,,,,,,,,,,,,,,True,DGA,0.998918354511261,tinynuke,0.7199428081512451,2025-09-10T12:40:00.253734
09p8a37ibk98pkiggespovnn653rat21.com,ICANN,blacklistKeywords_malware,rat,False,,com,,,,,,,,,,,,,,,,,,True,DGA,0.999879002571106,murofetweekly,0.9994670748710632,2025-09-10T12:40:09.457321
0auth-session.com,ICANN,blacklistKeywords_phishing,auth;session,False,,com,,,,,,,,,,,,,,,,,,False,benign,0.007175224367529154,N/A,0.0,2025-09-10T12:40:09.913331
0hbvd43puas0ghgvu9hnbjtnjrtisapi.com,ICANN,enterpriseBrands_it_top_100_extra,sap,False,,com,,,,,,,,,,,,,,,,,,True,DGA,0.999815046787262,gameover,1.0,2025-09-10T12:40:12.428156
0xcashout.com,ICANN,blacklistKeywords_fraud,cash,True,,com,,,,,,,,,,,,,,,,,,False,benign,0.00011398970673326403,N/A,0.0,2025-09-10T12:40:18.268252
1-800-webstores.com,ICANN,blacklistKeywords_fraud,web,True,,com,,,,,,,,,,,,,,,,,,False,benign,2.3877037165220827e-05,N/A,0.0,2025-09-10T12:40:18.730291
1-800crypto.com,ICANN,blacklistKeywords_crypto_scam,crypto,False,,com,,,,,,,,,,,,,,,,,,False,benign,3.293031477369368e-05,N/A,0.0,2025-09-10T12:40:18.747855
1-800nft.com,ICANN,blacklistKeywords_crypto_scam,nft,True,,com,,,,,,,,,,,,,,,,,,False,benign,4.0032526158029214e-05,N/A,0.0,2025-09-10T12:40:18.770633
1000viajespormexico.com,ICANN,blacklistKeywords_crypto_scam,ico,True,,com,,,,,,,,,,,,,,,,,,False,benign,0.0009270704467780888,N/A,0.0,2025-09-10T12:40:19.711171
1001impressos.com,ICANN,blacklistKeywords_phishing;blacklistKeywords_hunting_blacklist,sso;sso,True,,com,,,,,,,,,,,,,,,,,,False,benign,0.002181317890062928,N/A,0.0,2025-09-10T12:40:19.877744
100percentiterated.com,ICANN,blacklistKeywords_malware,rat,True,,com,,,,,,,,,,,,,,,,,,False,benign,0.020806273445487022,N/A,0.0,2025-09-10T12:40:21.057401
102688-apple.com,ICANN,enterpriseBrands_fortune_100,apple,True,,com,,,,,,,,,,,,,,,,,,False,benign,0.0004210613842587918,N/A,0.0,2025-09-10T12:40:22.197084
10thmountainalpinegroup.com,ICANN,blacklistKeywords_fraud,group,True,,com,,,,,,,,,,,,,,,,,,False,benign,0.0076613882556557655,N/A,0.0,2025-09-10T12:40:25.221816
1107services.com,ICANN,blacklistKeywords_phishing;blacklistKeywords_fraud,service;service,True,,com,,,,,,,,,,,,,,,,,,False,benign,0.00013608369044959545,N/A,0.0,2025-09-10T12:40:26.067981
118seaviewave.com,ICANN,blacklistKeywords_fraud,view,True,,com,,,,,,,,,,,,,,,,,,False,benign,0.004457795061171055,N/A,0.0,2025-09-10T12:40:28.620677
11a8pgpay.com,ICANN,blacklistKeywords_phishing,pay,True,,com,,,,,,,,,,,,,,,,,,True,DGA,0.82229083776474,benign,0.9690311551094055,2025-09-10T12:40:28.879824
11a8pgpay1.com,ICANN,blacklistKeywords_phishing,pay,True,,com,,,,,,,,,,,,,,,,,,True,DGA,0.9831671118736267,modpack,0.9054486751556396,2025-09-10T12:40:28.879904
11kk-online.com,ICANN,blacklistKeywords_fraud,online,True,,com,,,,,,,,,,,,,,,,,,False,benign,3.8186193705769256e-05,N/A,0.0,2025-09-10T12:40:29.293850
121bharatbussinesstycoonchember.com,ICANN,blacklistKeywords_malware,rat,True,BigRock Solutions Ltd.,com,Whois.bigrock.com,,2025-09-09T02:17:03,2025-09-09T02:17:03;2025-09-09T02:17:05,2026-09-09T02:17:03,clienttransferprohibited https://icann.org/epp#clienttransferprohibited,dns1.bigrock.in;dns2.bigrock.in;dns3.bigrock.in;dns4.bigrock.in,unsigned,abuse@bigrock.com;contact@privacyprotect.org,Domain Admin,"Privacy Protect, LLC (PrivacyProtect.org)",US,MA,Burlington,10 Corporate Drive,,,False,benign,3.334844586788677e-05,N/A,0.0,2025-09-10T12:40:30.436280
123needcash.com,ICANN,blacklistKeywords_fraud,cash,True,,com,,,,,,,,,,,,,,,,,,False,benign,0.00042219806346111,N/A,0.0,2025-09-10T12:40:31.923603
123refundify.com,ICANN,blacklistKeywords_fraud,refund,True,,com,,,,,,,,,,,,,,,,,,False,benign,0.0017665884224697948,N/A,0.0,2025-09-10T12:40:32.041721
