domain,source,matched_categories,matched_keywords,online,whois_registrar,whois_tld,whois_whois_server,whois_referral_url,whois_creation_dates,whois_updated_dates,whois_expiration_dates,whois_status,whois_nameservers,whois_dnssec,whois_emails,whois_registrant_name,whois_registrant_org,whois_registrant_country,whois_registrant_state,whois_registrant_city,whois_registrant_address,whois_registrant_phone,whois_registrant_fax,dgad_is_dga,dgad_binary_label,dgad_binary_score,dgad_family_label,dgad_family_score,timestamp
000online.com,ICANN,blacklistKeywords_fraud,online,False,,com,,,,,,,,,,,,,,,,,,False,benign,5.76073034608271e-05,N/A,0.0,2025-09-17T12:22:04.198706
009beth.com,ICANN,blacklistKeywords_crypto_scam,eth,False,,com,,,,,,,,,,,,,,,,,,False,benign,0.0002810200385283679,N/A,0.0,2025-09-17T12:22:05.266418
00freeweb.com,ICANN,blacklistKeywords_fraud,web,True,,com,,,,,,,,,,,,,,,,,,False,benign,0.00012114270066376776,N/A,0.0,2025-09-17T12:22:05.400931
012bitcoin.com,ICANN,blacklistKeywords_crypto_scam,bitcoin,False,,com,,,,,,,,,,,,,,,,,,False,benign,0.0010605884017422795,N/A,0.0,2025-09-17T12:22:05.971455
012ubsupi6igiv4k6rn1hc2cftnek4mv.com,ICANN,enterpriseBrands_financial,ubs,False,,com,,,,,,,,,,,,,,,,,,True,DGA,0.999864935874939,gameover,0.5285586714744568,2025-09-17T12:22:05.990125
017bethh.com,ICANN,blacklistKeywords_crypto_scam,eth,False,,com,,,,,,,,,,,,,,,,,,False,benign,0.0038956478238105774,N/A,0.0,2025-09-17T12:22:06.344748
094gsdjflfs2nmc05ghceth487dlhr5e.com,ICANN,blacklistKeywords_crypto_scam,eth,False,,com,,,,,,,,,,,,,,,,,,True,DGA,0.9998734593391418,murofetweekly,0.9992502331733704,2025-09-17T12:22:14.395903
0cpdqmo1ciq7v05nnftl8t32bg83tdns.com,ICANN,blacklistKeywords_crypto_scam,nft,False,,com,,,,,,,,,,,,,,,,,,True,DGA,0.9998524188995361,murofetweekly,0.9993155002593994,2025-09-17T12:22:15.912610
0daysecure.com,ICANN,blacklistKeywords_phishing;blacklistKeywords_fraud;blacklistKeywords_hunting_blacklist,secure;secure;secure,True,"GoDaddy.com, LLC",com,whois.godaddy.com,,2025-09-16T13:54:29,2025-09-16T13:54:30,2028-09-16T13:54:29,clientdeleteprohibited https://icann.org/epp#clientdeleteprohibited;clientrenewprohibited https://icann.org/epp#clientrenewprohibited;clienttransferprohibited https://icann.org/epp#clienttransferprohibited;clientupdateprohibited https://icann.org/epp#clientupdateprohibited,ns67.domaincontrol.com;ns68.domaincontrol.com,unsigned,abuse@godaddy.com,,,,,,,,,False,benign,0.0013707958860322833,N/A,0.0,2025-09-17T12:22:16.123103
0jh0pnlr7tgethdiin70q044slhe25pu.com,ICANN,blacklistKeywords_crypto_scam,eth,False,,com,,,,,,,,,,,,,,,,,,True,DGA,0.9998284578323364,murofetweekly,0.998134970664978,2025-09-17T12:22:18.217008
0k6h02ja0nnakr4t1cvsqnhcm7qs47fa.com,ICANN,enterpriseBrands_fortune_100,cvs,False,,com,,,,,,,,,,,,,,,,,,True,DGA,0.9998752474784851,gameover,0.799846351146698,2025-09-17T12:22:18.439247
0pb5ico0ub430c4b6a27mgucrq220lp2.com,ICANN,blacklistKeywords_crypto_scam,ico,False,,com,,,,,,,,,,,,,,,,,,True,DGA,0.99982088804245,tinynuke,0.790136992931366,2025-09-17T12:22:20.272027
0tnkgcpva6vjht70fqrhnlhrk0e75kgc.com,ICANN,enterpriseBrands_cloud_tech,gcp,False,,com,,,,,,,,,,,,,,,,,,True,DGA,0.9998523592948914,wd,0.9995689988136292,2025-09-17T12:22:21.745987
1000groupofcompanies.com,ICANN,blacklistKeywords_fraud,group,False,,com,,,,,,,,,,,,,,,,,,False,benign,0.00012359488755464554,N/A,0.0,2025-09-17T12:22:23.670060
101pacificobservatory.com,ICANN,blacklistKeywords_crypto_scam,ico,True,https://www.101domain.com/,com,whois.101domain.com,,2025-09-16T01:01:46,2025-09-16T01:01:46;2025-09-16T01:01:48,2026-09-16T01:01:46,clienttransferprohibited https://icann.org/epp#clienttransferprohibited;clienttransferprohibited http://www.icann.org/epp#clienttransferprohibited,ns1.101domain.com;ns2.101domain.com,unsigned,abuse@101domain.com;31d6ad.ryog5dzqvzzk@digitalprivacy.co,Private Registrant,Digital Privacy Corporation,US,CA,Vista,"3220 Executive Ridge Drive, Suite 101.",,,False,benign,0.005559950135648251,N/A,0.0,2025-09-17T12:22:25.838974
10dollarbusinesstoolbox.com,ICANN,enterpriseBrands_it_top_100_extra,box,False,,com,,,,,,,,,,,,,,,,,,False,benign,0.008856019005179405,N/A,0.0,2025-09-17T12:22:27.891340
10hotelswithview.com,ICANN,blacklistKeywords_fraud,view,False,,com,,,,,,,,,,,,,,,,,,False,benign,0.001212329138070345,N/A,0.0,2025-09-17T12:22:28.082167
10poundbusinesstoolbox.com,ICANN,enterpriseBrands_it_top_100_extra,box,False,,com,,,,,,,,,,,,,,,,,,False,benign,0.010129919275641441,N/A,0.0,2025-09-17T12:22:28.536266
10squareadvisors.com,ICANN,enterpriseBrands_financial,square,True,"Name.com, Inc.",com,whois.name.com,,2025-09-16T12:51:26,2025-09-16T12:51:26,2026-09-16T12:51:26,clienttransferprohibited https://icann.org/epp#clienttransferprohibited;addperiod https://www.icann.org/epp#addperiod;clienttransferprohibited https://www.icann.org/epp#clienttransferprohibited,ns1fkl.name.com;ns2dky.name.com;ns3jkl.name.com;ns4lny.name.com,unsigned,abuse@name.com,Redacted For Privacy,"Domain Protection Services, Inc.",US,CO,Denver,PO Box 1769,,,False,benign,0.0041639418341219425,N/A,0.0,2025-09-17T12:22:28.690373
10thingsreview.com,ICANN,blacklistKeywords_fraud,view,False,,com,,,,,,,,,,,,,,,,,,False,benign,0.0038468921557068825,N/A,0.0,2025-09-17T12:22:28.771033
10xpivotmethod.com,ICANN,blacklistKeywords_crypto_scam,eth,False,,com,,,,,,,,,,,,,,,,,,False,benign,0.035167817026376724,N/A,0.0,2025-09-17T12:22:29.131814
10xpropertygroupllc.com,ICANN,blacklistKeywords_fraud,group,False,,com,,,,,,,,,,,,,,,,,,False,benign,0.0005271268310025334,N/A,0.0,2025-09-17T12:22:29.140868
115crestviewcourt.com,ICANN,blacklistKeywords_fraud,view,False,,com,,,,,,,,,,,,,,,,,,False,benign,0.0002708515094127506,N/A,0.0,2025-09-17T12:22:31.061432
